Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,domain,investor_page
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957,1911,eaton.com,https://www.eaton.com/us/en-us/company/investor-relations.html
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/2002,1995,ebay.com,https://investors.ebayinc.com/overview/default.aspx
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989,1923,ecolab.com,https://www.slidegenius.com/cm-faq-question/where-can-i-access-the-investor-relations-presentations-for-ecolab
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886,edison.com,https://edison.com/investors
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958,edwards.com,https://ir.edwards.com/events-presentations/event-details/2021/2021-Edwards-Lifesciences-Investor-Conference/default.aspx
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,1982,ea.com,https://investingsnacks.com/electronic-arts-pif-buyout-details-ea/
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1946),elevancehealth.com,https://ir.elevancehealth.com/investors/default.aspx
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876,lilly.com,https://investor.lilly.com
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890,emerson.com,https://emerson.com/investors
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",1/7/2021,2006,enphase.com,https://investor.enphase.com
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913,entergy.com,https://investors.entergy.com/investors/overview/default.aspx
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,1999,eogresources.com,https://investors.eogresources.com
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021,1993,epam.com,https://investors.epam.com/overview/default.aspx
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022,1888,eqt.com,https://media.eqt.com/investor-relations/resources/investor-email-alerts/default.aspx
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,1899,equifax.com,https://investor.equifax.com
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1998,equinix.com,https://investor.equinix.com
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1969,equityapartments.com,https://investors.equityapartments.com/overview/corporate-profile/default.aspx
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971,essexapartmenthomes.com,https://investors.essexapartmenthomes.com/overview/default.aspx
EL,Est?e Lauder Companies (The),Consumer Staples,Personal Products,"New York City, New York",1/5/2006,1946,elcompanies.com,https://www.elcompanies.com/en/investors
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",9/21/2020,2005,etsy.com,https://investor.etsy.com
